Experiment,ROC-AUC,PR-AUC,ROC-AUC Change vs Model09,PR-AUC Change vs Model09,Feature Count
Model09 Baseline,0.7872162016210469,0.28872099023747344,1.620162104687406e-05,2.099023747342832e-05,303
Model10 + Domain Features,0.7868615096435243,0.28914726902555826,-0.0003384903564757069,0.0004472690255582501,309
