Experiment,ROC-AUC,PR-AUC,ROC-AUC Change,PR-AUC Change,Feature Count
Model09 Baseline,0.7872,0.2887,0.0,0.0,303
Model11 Optuna XGBoost,0.7881522331298751,0.290469067529455,0.0009522331298751352,0.001769067529454993,303
