Experiment,ROC-AUC,PR-AUC,ROC-AUC Change vs Model08,PR-AUC Change vs Model08,Feature Count
Model08 Reproduction,0.7874370923679311,0.28625406000002607,0.0004370923679311023,-0.0009459399999739437,400
Drop Low-Correlation Features,0.7860020568472569,0.28670076667839944,-0.0009979431527431526,-0.0004992333216005673,397
Redundancy Refinement,0.7872162016210469,0.28872099023747344,0.00021620162104685203,0.0015209902374734297,303
Combined Refinement,0.7854430338486352,0.2842038209140445,-0.0015569661513648025,-0.002996179085955508,300
