Model,ROC-AUC,PR-AUC
Logistic Regression,0.7500814021757667,0.23262050758748984
XGBoost,0.761208723899373,0.25161876563170743
XGBoost + scale_pos_weight,0.7600191168025128,0.24929663908348862
