Experiment,ROC-AUC,PR-AUC,ROC-AUC Change,PR-AUC Change,Feature Count,Best Iteration
Model11 Optuna,0.7882,0.2905,0.0,0.0,303,
Model12 Reference-Inspired,0.7941633013748617,0.29753473679690046,0.005963301374861674,0.007034736796900476,576,5178.0
