Metric,Value
ROC-AUC,0.7881522331298751
PR-AUC,0.290469067529455
Decision Threshold,0.15000000000000002
Precision,0.2652169039345365
Recall,0.4765357502517623
F1,0.3407748811752845
Feature Count,303.0
